Organ_Level,Organ_ID,Annotation_Label,Annotation_Label_ID,CL_Label,CL_ID,CL_Match,marker/1,marker/2,marker/3,marker/4,marker/5,marker/6,marker/7,marker/8,marker/9,marker/10
blood,UBERON:0000178,Age-associated B cells,CT:0000001,memory B cell,CL:0000787,skos:narrowMatch,MS4A1,GALNTL6,C1QL3,PROB1,ARG1,SPOCK1,VCAM1,SYCE1,GUCA1B,CATSPERD
blood,UBERON:0000178,C1 non-classical monocytes,CT:0000002,non-classical monocyte,CL:0000875,skos:narrowMatch,C1QA,C1QB,AP003774.1,KCNE5,SIX5,PARD6G,C1QL3,KCNK10,OSTN-AS1,UBXN10
blood,UBERON:0000178,CD16+ NK cells,CT:0000003,"CD16-positive, CD56-dim natural killer cell, human",CL:0000939,skos:exactMatch,GNLY,FCER1G,TYROBP,NKG7,IGFBP7,SPON2,MYOM2,B2M,GZMB,SH2D1B
blood,UBERON:0000178,CD16- NK cells,CT:0000004,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,skos:exactMatch,GZMK,XCL1,LDB2,TYROBP,ADGRG3,KLRC1,KLRF1,HBG2,GUCA1B,RPS4Y2
blood,UBERON:0000178,Classical monocytes,CT:0000005,classical monocyte,CL:0000860,skos:exactMatch,S100A12,FOLR3,CD14,MS4A6A,CLEC4E,NCF1,RBP7,CSF3R,CST3,FTH1
blood,UBERON:0000178,Cycling immune mix,CT:0000006,leukocyte,CL:0000738,skos:narrowMatch,ELFN1-AS1,TYMS,STMN1,AP001189.4,IGHV2-5,GDF7,SPOCK1,TREML4,RPS4Y2,IGLV2-5
blood,UBERON:0000178,DC1,CT:0000007,CD141-positive myeloid dendritic cell,CL:0002394,skos:exactMatch,CLEC9A,IDO1,XCR1,NPIPB13,SIX5,IGKV1-8,RAB7B,SPOCK1,TRAJ44,SMPDL3B
blood,UBERON:0000178,DC2,CT:0000008,CD1c-positive myeloid dendritic cell,CL:0002399,skos:exactMatch,FCER1A,ENHO,CD1C,CLEC10A,CD1E,PKIB,KCNE5,RPS4Y2,TCAP,IFI30
blood,UBERON:0000178,HSC/MPP,CT:0000009,hematopoietic multipotent progenitor cell,CL:0000837,skos:exactMatch,CD34,NPR3,CRHBP,ATP2A1,LINC01013,AP001189.4,PARD6G,IGHV7-4-1,FAM66D,EPGN
blood,UBERON:0000178,MAIT cells,CT:0000010,mucosal invariant T cell,CL:0000940,skos:exactMatch,KLRB1,NKG7,TRAV1-2,NCR3,SLC4A10,PRF1,GZMK,S100A4,CD8A,LINC00997
